state,accuracy,balanced_accuracy,macro_f1,weighted_f1,top3,top5,nll,ece15
reference,0.985088308989794,0.9668364448846611,0.9687003098483722,0.9850081556282506,0.9972498930513964,0.9985332762940781,0.07063276715834801,0.016492000609926546
mobile_float,0.9845994010878201,0.9624350685000836,0.9627097909722193,0.9845750154537358,0.9974943470023834,0.9985943897818248,0.08004782674882407,0.016052754699333295
converted_int8,0.9845382876000733,0.961957450771242,0.9624923532439733,0.9845129466370882,0.9973721200268899,0.9985332762940781,0.07995870134076584,0.015412198736780462
pte_runtime,0.9845994010878201,0.9620172399300095,0.9622672604655943,0.9845853367836914,0.9974332335146366,0.9987166167573184,0.07985868844180155,0.015757069687438723
